currency,date,open,high,low,close,volume,market_cap,year,month,year_month
binance-coin,2013-04-28,4.3,4.4,4.18,4.35,0.0,74636938.0,2013,4,2013-04
binance-coin,2013-04-29,4.37,4.57,4.23,4.38,0.0,75388964.0,2013,4,2013-04
binance-coin,2013-04-30,4.4,4.57,4.17,4.3,0.0,74020918.0,2013,4,2013-04
binance-coin,2013-05-01,4.29,4.36,3.52,3.8,0.0,65604596.0,2013,5,2013-05
binance-coin,2013-05-02,3.78,4.04,3.01,3.37,0.0,58287979.0,2013,5,2013-05
binance-coin,2013-05-03,3.39,3.45,2.4,3.04,0.0,52694847.0,2013,5,2013-05
binance-coin,2013-05-04,3.03,3.64,2.9,3.48,0.0,60290868.0,2013,5,2013-05
binance-coin,2013-05-05,3.49,3.69,3.35,3.59,0.0,62298185.0,2013,5,2013-05
binance-coin,2013-05-06,3.59,3.78,3.12,3.37,0.0,58594361.0,2013,5,2013-05
binance-coin,2013-05-07,3.37,3.41,2.94,3.33,0.0,58051265.0,2013,5,2013-05
binance-coin,2013-05-08,3.28,3.49,3.28,3.41,0.0,59508216.0,2013,5,2013-05
binance-coin,2013-05-09,3.4,3.44,3.29,3.42,0.0,59755569.0,2013,5,2013-05
binance-coin,2013-05-10,3.41,3.63,3.37,3.44,0.0,60358927.0,2013,5,2013-05
binance-coin,2013-05-11,3.46,3.48,3.3,3.35,0.0,58809513.0,2013,5,2013-05
binance-coin,2013-05-12,3.36,3.42,3.22,3.27,0.0,57513320.0,2013,5,2013-05
binance-coin,2013-05-13,3.26,3.37,3.2,3.28,0.0,57790879.0,2013,5,2013-05
binance-coin,2013-05-14,3.28,3.33,2.78,2.82,0.0,49847568.0,2013,5,2013-05
binance-coin,2013-05-15,2.82,3.04,2.64,2.94,0.0,51891652.0,2013,5,2013-05
binance-coin,2013-05-16,2.93,2.97,2.69,2.92,0.0,51685880.0,2013,5,2013-05
binance-coin,2013-05-17,2.89,3.34,2.87,3.19,0.0,56498074.0,2013,5,2013-05
binance-coin,2013-05-18,3.2,3.36,3.13,3.29,0.0,58518794.0,2013,5,2013-05
binance-coin,2013-05-19,3.3,3.41,3.19,3.3,0.0,58760676.0,2013,5,2013-05
binance-coin,2013-05-20,3.31,3.32,3.15,3.18,0.0,56682749.0,2013,5,2013-05
binance-coin,2013-05-21,3.19,3.22,3.04,3.09,0.0,55073034.0,2013,5,2013-05
binance-coin,2013-05-22,3.09,3.14,3.03,3.12,0.0,55766901.0,2013,5,2013-05
binance-coin,2013-05-23,3.12,3.19,3.09,3.18,0.0,56949220.0,2013,5,2013-05
binance-coin,2013-05-24,3.17,3.19,3.04,3.18,0.0,57017469.0,2013,5,2013-05
binance-coin,2013-05-25,3.19,3.2,3.05,3.12,0.0,56026343.0,2013,5,2013-05
binance-coin,2013-05-26,3.12,3.33,3.09,3.25,0.0,58457958.0,2013,5,2013-05
binance-coin,2013-05-27,3.23,3.26,3.02,3.1,0.0,55882132.0,2013,5,2013-05
binance-coin,2013-05-28,3.1,3.13,3.02,3.09,0.0,55813732.0,2013,5,2013-05
binance-coin,2013-05-29,3.09,3.12,3.02,3.1,0.0,55971819.0,2013,5,2013-05
binance-coin,2013-05-30,3.08,3.09,2.88,2.97,0.0,53812628.0,2013,5,2013-05
binance-coin,2013-05-31,2.97,2.99,2.69,2.96,0.0,53635813.0,2013,5,2013-05
